mod_peche;sexe;res_tour;Temps_peche_estime.cat2h;zone.gp;age_classe;cat_pro.gp;nb_sort_an_cat;classe_avis_pnm;poss_bat;time.day.gp;nb_sort_an_cat.1;dep.median.rd.chr;dep.mod_peche.chr
peche embarquée;homme;resident;>=2h;nimp_ou;50-59;activite;Q2 (11-15);positif;oui;nimp_q;Q2 (11-15);entre 1000-2000 euros;entre 1000-2000 euros
peche embarquée;homme;resident;>=2h;Est Cap;25-39;activite;Q3 (16-30);positif;oui;nimp_q;Q3 (16-30);entre 500-1000 euros;entre 500-1000 euros
peche embarquée;homme;resident;>=2h;nimp_ou;25-39;activite;Q4 (>=31);positif;oui;journee;Q4 (>=31);supérieur à 2000;supérieur à 2000
peche embarquée;homme;resident;>=2h;Agriates;50-59;retraite;Q4 (>=31);positif;oui;journee;Q4 (>=31);supérieur à 2000;supérieur à 2000
peche embarquée;homme;resident;>=2h;Ouest Cap;50-59;retraite;Q4 (>=31);positif;oui;journee;Q4 (>=31);entre 1000-2000 euros;entre 1000-2000 euros
peche embarquée;homme;resident;>=2h;nimp_ou;50-59;activite;Q4 (>=31);positif;oui;journee;Q4 (>=31);entre 1000-2000 euros;entre 1000-2000 euros
peche embarquée;homme;resident;>=2h;nimp_ou;50-59;activite;Q4 (>=31);positif;oui;journee;Q4 (>=31);supérieur à 2000;supérieur à 2000
peche embarquée;homme;resident;>=2h;nimp_ou;50-59;activite;Q3 (16-30);positif;oui;am;Q3 (16-30);supérieur à 2000;supérieur à 2000
peche embarquée;homme;resident;>=2h;nimp_ou;50-59;retraite;Q1 (<=10);positif;oui;am;Q1 (<=10);entre 100-500 euros;entre 100-500 euros
peche embarquée;homme;resident;<2h;nimp_ou;50-59;activite;Q2 (11-15);positif;oui;nimp_q;Q2 (11-15);entre 1000-2000 euros;entre 1000-2000 euros
peche embarquée;homme;resident;>=2h;nimp_ou;50-59;retraite;Q4 (>=31);positif;oui;nimp_q;Q4 (>=31);entre 100-500 euros;entre 100-500 euros
peche embarquée;homme;resident;>=2h;nimp_ou;50-59;activite;Q4 (>=31);positif;oui;nimp_q;Q4 (>=31);supérieur à 2000;supérieur à 2000
peche embarquée;femme;resident;>=2h;Nord Cap;50-59;retraite;Q1 (<=10);positif;oui;am;Q1 (<=10);< 100 euros;< 100 euros
peche du bord;homme;resident;>=2h;Est Cap;50-59;retraite;Q2 (11-15);positif;non;am;Q2 (11-15);< 100 euros;< 100 euros
peche du bord;homme;resident;>=2h;nimp_ou;40-49;activite;Q3 (16-30);positif;non;nimp_q;Q3 (16-30);entre 500-1000 euros;entre 500-1000 euros
peche embarquée;homme;resident;>=2h;Est Cap;50-59;activite;Q4 (>=31);positif;oui;nimp_q;Q4 (>=31);entre 1000-2000 euros;entre 1000-2000 euros
peche embarquée;homme;resident;>=2h;Est Cap;25-39;activite;Q4 (>=31);positif;oui;am;Q4 (>=31);supérieur à 2000;supérieur à 2000
peche du bord;homme;resident;>=2h;Est Cap;40-49;activite;Q3 (16-30);positif;non;nimp_q;Q3 (16-30);entre 100-500 euros;entre 100-500 euros
peche du bord;homme;resident;>=2h;Est Cap;40-49;activite;Q3 (16-30);positif;non;am;Q3 (16-30);entre 100-500 euros;entre 100-500 euros
peche embarquée;homme;resident;>=2h;Est Cap;25-39;activite;Q3 (16-30);positif;oui;am;Q3 (16-30);entre 500-1000 euros;entre 500-1000 euros
peche du bord;homme;occasionnel;>=2h;Est Cap;40-49;activite;Q1 (<=10);positif;non;pm;Q1 (<=10);< 100 euros;< 100 euros
peche du bord;homme;resident;>=2h;Saint-Florent;50-59;retraite;Q2 (11-15);positif;non;am;Q2 (11-15);entre 100-500 euros;entre 100-500 euros
peche du bord;homme;resident;>=2h;Saint-Florent;25-39;activite;Q3 (16-30);positif;non;nimp_q;Q3 (16-30);entre 500-1000 euros;entre 500-1000 euros
peche du bord;homme;resident;>=2h;Est Cap;50-59;retraite;Q2 (11-15);positif;non;am;Q2 (11-15);entre 100-500 euros;entre 100-500 euros
peche du bord;homme;secondaire;>=2h;Est Cap;50-59;retraite;Q2 (11-15);positif;non;nimp_q;Q2 (11-15);entre 100-500 euros;entre 100-500 euros
peche embarquée;homme;occasionnel;<2h;nimp_ou;50-59;activite;Q1 (<=10);positif;oui;am;Q1 (<=10);< 100 euros;< 100 euros
peche embarquée;homme;resident;>=2h;Ouest Cap;50-59;activite;Q4 (>=31);positif;oui;nimp_q;Q4 (>=31);supérieur à 2000;supérieur à 2000
peche embarquée;homme;resident;>=2h;Ouest Cap;50-59;retraite;Q2 (11-15);positif;oui;am;Q2 (11-15);entre 100-500 euros;entre 100-500 euros
peche embarquée;homme;resident;>=2h;Est Cap;50-59;retraite;Q1 (<=10);positif;oui;am;Q1 (<=10);entre 100-500 euros;entre 100-500 euros
peche embarquée;homme;resident;>=2h;Est Cap;50-59;retraite;Q1 (<=10);positif;oui;nimp_q;Q1 (<=10);entre 100-500 euros;entre 100-500 euros
peche embarquée;homme;resident;<2h;Est Cap;50-59;retraite;Q1 (<=10);positif;oui;nimp_q;Q1 (<=10);< 100 euros;< 100 euros
peche du bord;homme;occasionnel;<2h;Ouest Cap;25-39;activite;Q1 (<=10);positif;non;am;Q1 (<=10);< 100 euros;< 100 euros
peche du bord;homme;resident;>=2h;Est Cap;50-59;sans_emploi-en_arret;Q2 (11-15);positif;non;nimp_q;Q2 (11-15);entre 100-500 euros;entre 100-500 euros
peche du bord;homme;resident;>=2h;Est Cap;50-59;retraite;Q3 (16-30);positif;non;am;Q3 (16-30);entre 100-500 euros;entre 100-500 euros
peche du bord;homme;resident;>=2h;Est Cap;50-59;retraite;Q3 (16-30);positif;non;nimp_q;Q3 (16-30);entre 500-1000 euros;entre 500-1000 euros
peche embarquée;homme;resident;>=2h;Est Cap;25-39;activite;Q1 (<=10);p_avis;oui;pm;Q1 (<=10);entre 100-500 euros;entre 100-500 euros
peche du bord;homme;resident;>=2h;nimp_ou;50-59;activite;Q2 (11-15);positif;non;am;Q2 (11-15);< 100 euros;< 100 euros
peche du bord;homme;resident;>=2h;nimp_ou;40-49;activite;Q1 (<=10);p_avis;non;pm;Q1 (<=10);entre 500-1000 euros;entre 500-1000 euros
peche du bord;homme;resident;>=2h;Ouest Cap;50-59;sans_emploi-en_arret;Q4 (>=31);p_avis;non;am;Q4 (>=31);entre 500-1000 euros;entre 500-1000 euros
peche embarquée;homme;resident;>=2h;Saint-Florent;70 et plus;retraite;Q4 (>=31);p_avis;oui;am;Q4 (>=31);entre 500-1000 euros;supérieur à 2000
peche embarquée;homme;resident;>=2h;nimp_ou;25-39;activite;Q3 (16-30);positif;oui;nimp_q;Q3 (16-30);entre 1000-2000 euros;supérieur à 2000
peche embarquée;homme;resident;>=2h;Ouest Cap;50-59;activite;Q4 (>=31);positif;oui;am;Q4 (>=31);entre 1000-2000 euros;entre 1000-2000 euros
peche à l'oursin;homme;resident;<2h;Agriates;25-39;activite;Q1 (<=10);positif;non;nimp_q;Q1 (<=10);entre 500-1000 euros;< 100 euros
peche à l'oursin;femme;resident;<2h;nimp_ou;50-59;activite;Q4 (>=31);p_avis;non;am;Q4 (>=31);entre 100-500 euros;< 100 euros
peche du bord;homme;secondaire;<2h;Ouest Cap;40-49;activite;Q3 (16-30);p_avis;non;nimp_q;Q3 (16-30);< 100 euros;< 100 euros
peche du bord;homme;secondaire;<2h;nimp_ou;70 et plus;retraite;Q4 (>=31);positif;oui;nimp_q;Q4 (>=31);entre 1000-2000 euros;entre 100-500 euros
peche du bord;homme;resident;>=2h;nimp_ou;40-49;activite;Q4 (>=31);positif;non;nimp_q;Q4 (>=31);entre 100-500 euros;entre 100-500 euros
peche du bord;homme;occasionnel;>=2h;Est Cap;70 et plus;retraite;Q4 (>=31);p_avis;non;pm;Q4 (>=31);entre 100-500 euros;entre 100-500 euros
peche du bord;homme;resident;>=2h;Est Cap;13-24;etudiant;Q4 (>=31);p_avis;non;nimp_q;Q4 (>=31);entre 100-500 euros;entre 100-500 euros
peche embarquée;femme;resident;>=2h;nimp_ou;60-69;retraite;Q1 (<=10);positif;non;nimp_q;Q1 (<=10);entre 1000-2000 euros;entre 1000-2000 euros
peche embarquée;homme;resident;>=2h;Est Cap;60-69;activite;Q4 (>=31);positif;oui;nimp_q;Q4 (>=31);supérieur à 2000;supérieur à 2000
peche embarquée;homme;resident;>=2h;Est Cap;60-69;activite;Q4 (>=31);positif;oui;nimp_q;Q4 (>=31);supérieur à 2000;supérieur à 2000
peche embarquée;homme;resident;>=2h;Saint-Florent;60-69;retraite;Q1 (<=10);positif;oui;nimp_q;Q1 (<=10);supérieur à 2000;supérieur à 2000
peche embarquée;homme;resident;>=2h;Agriates;70 et plus;retraite;Q3 (16-30);positif;oui;nimp_q;Q3 (16-30);supérieur à 2000;supérieur à 2000
peche embarquée;homme;resident;>=2h;nimp_ou;60-69;retraite;Q3 (16-30);positif;oui;nimp_q;Q3 (16-30);supérieur à 2000;supérieur à 2000
chasse sous-marine;homme;resident;>=2h;nimp_ou;40-49;activite;Q4 (>=31);positif;oui;nimp_q;Q4 (>=31);entre 100-500 euros;entre 100-500 euros
peche du bord;homme;resident;<2h;nimp_ou;25-39;activite;Q4 (>=31);positif;oui;nimp_q;Q4 (>=31);supérieur à 2000;supérieur à 2000
peche embarquée;homme;resident;>=2h;nimp_ou;40-49;activite;Q3 (16-30);p_avis;oui;nimp_q;Q3 (16-30);entre 1000-2000 euros;supérieur à 2000
peche embarquée;homme;resident;>=2h;nimp_ou;70 et plus;retraite;Q3 (16-30);positif;oui;am;Q3 (16-30);supérieur à 2000;supérieur à 2000
peche du bord;homme;resident;>=2h;Est Cap;70 et plus;retraite;Q4 (>=31);positif;non;nimp_q;Q4 (>=31);entre 100-500 euros;entre 100-500 euros
peche du bord;homme;resident;>=2h;nimp_ou;25-39;activite;Q4 (>=31);positif;non;pm;Q4 (>=31);entre 100-500 euros;entre 100-500 euros
peche embarquée;homme;resident;>=2h;nimp_ou;50-59;activite;Q4 (>=31);positif;oui;nimp_q;Q4 (>=31);supérieur à 2000;supérieur à 2000
peche embarquée;femme;resident;>=2h;nimp_ou;60-69;retraite;Q3 (16-30);p_avis;oui;nimp_q;Q3 (16-30);entre 100-500 euros;entre 500-1000 euros
peche du bord;homme;resident;>=2h;Saint-Florent;40-49;activite;Q4 (>=31);positif;non;nimp_q;Q4 (>=31);entre 100-500 euros;entre 100-500 euros
peche du bord;homme;secondaire;>=2h;Est Cap;60-69;retraite;Q4 (>=31);p_avis;non;nimp_q;Q4 (>=31);entre 100-500 euros;entre 100-500 euros
peche du bord;homme;resident;>=2h;Est Cap;25-39;activite;Q4 (>=31);p_avis;non;nimp_q;Q4 (>=31);entre 500-1000 euros;entre 500-1000 euros
peche du bord;homme;resident;<2h;Est Cap;40-49;activite;Q4 (>=31);positif;non;nimp_q;Q4 (>=31);entre 500-1000 euros;entre 500-1000 euros
peche embarquée;homme;resident;>=2h;nimp_ou;50-59;activite;Q3 (16-30);positif;oui;nimp_q;Q3 (16-30);entre 1000-2000 euros;supérieur à 2000
peche embarquée;homme;resident;>=2h;Est Cap;70 et plus;retraite;Q3 (16-30);p_avis;oui;nimp_q;Q3 (16-30);supérieur à 2000;supérieur à 2000
peche embarquée;homme;resident;>=2h;Nord Cap;50-59;activite;Q2 (11-15);positif;oui;nimp_q;Q2 (11-15);supérieur à 2000;supérieur à 2000
peche embarquée;homme;resident;>=2h;nimp_ou;60-69;retraite;Q3 (16-30);positif;oui;nimp_q;Q3 (16-30);supérieur à 2000;supérieur à 2000
peche embarquée;homme;resident;>=2h;nimp_ou;60-69;activite;Q1 (<=10);positif;oui;nimp_q;Q1 (<=10);supérieur à 2000;supérieur à 2000
peche du bord;homme;resident;>=2h;nimp_ou;13-24;etudiant;Q3 (16-30);p_avis;non;nimp_q;Q3 (16-30);< 100 euros;< 100 euros
peche du bord;homme;resident;>=2h;nimp_ou;50-59;activite;Q4 (>=31);positif;non;nimp_q;Q4 (>=31);entre 500-1000 euros;entre 500-1000 euros
peche du bord;homme;resident;>=2h;nimp_ou;25-39;activite;Q4 (>=31);p_avis;oui;nimp_q;Q4 (>=31);entre 500-1000 euros;entre 500-1000 euros
peche du bord;homme;resident;<2h;nimp_ou;70 et plus;retraite;Q2 (11-15);positif;non;nimp_q;Q2 (11-15);entre 100-500 euros;< 100 euros
peche du bord;femme;touriste;>=2h;Saint-Florent;25-39;activite;Q3 (16-30);p_avis;non;nuit;Q3 (16-30);entre 100-500 euros;entre 100-500 euros
peche du bord;homme;resident;>=2h;Saint-Florent;50-59;activite;Q4 (>=31);positif;non;nimp_q;Q4 (>=31);entre 100-500 euros;entre 100-500 euros
peche du bord;homme;resident;>=2h;nimp_ou;40-49;activite;Q4 (>=31);positif;non;nimp_q;Q4 (>=31);entre 500-1000 euros;entre 500-1000 euros
peche du bord;homme;resident;>=2h;Ouest Cap;50-59;sans_emploi-en_arret;Q4 (>=31);p_avis;non;nimp_q;Q4 (>=31);< 100 euros;< 100 euros
peche du bord;homme;resident;>=2h;nimp_ou;25-39;activite;Q4 (>=31);positif;non;nimp_q;Q4 (>=31);entre 500-1000 euros;entre 500-1000 euros
peche du bord;homme;resident;>=2h;Agriates;25-39;activite;Q4 (>=31);positif;non;nimp_q;Q4 (>=31);entre 100-500 euros;entre 100-500 euros
peche du bord;homme;resident;>=2h;nimp_ou;40-49;activite;Q4 (>=31);p_avis;non;nimp_q;Q4 (>=31);entre 500-1000 euros;entre 500-1000 euros
peche du bord;homme;resident;>=2h;nimp_ou;50-59;activite;Q3 (16-30);positif;non;nimp_q;Q3 (16-30);entre 100-500 euros;entre 100-500 euros
peche du bord;homme;resident;>=2h;nimp_ou;25-39;activite;Q4 (>=31);positif;non;nimp_q;Q4 (>=31);entre 100-500 euros;entre 100-500 euros
peche du bord;homme;resident;>=2h;Est Cap;40-49;activite;Q4 (>=31);positif;non;nimp_q;Q4 (>=31);entre 100-500 euros;entre 100-500 euros
peche embarquée;homme;resident;>=2h;nimp_ou;40-49;activite;Q4 (>=31);positif;oui;nimp_q;Q4 (>=31);entre 1000-2000 euros;supérieur à 2000
peche du bord;homme;touriste;>=2h;Est Cap;25-39;activite;Q1 (<=10);p_avis;non;nimp_q;Q1 (<=10);< 100 euros;< 100 euros
peche du bord;homme;touriste;>=2h;Est Cap;40-49;activite;Q1 (<=10);p_avis;non;nimp_q;Q1 (<=10);entre 100-500 euros;entre 100-500 euros
peche embarquée;homme;resident;>=2h;nimp_ou;40-49;activite;Q2 (11-15);positif;oui;am;Q2 (11-15);entre 100-500 euros;entre 100-500 euros
peche embarquée;homme;resident;>=2h;nimp_ou;40-49;sans_emploi-en_arret;Q2 (11-15);positif;oui;am;Q2 (11-15);< 100 euros;entre 100-500 euros
peche embarquée;homme;touriste;>=2h;nimp_ou;40-49;activite;Q1 (<=10);positif;non;nimp_q;Q1 (<=10);entre 100-500 euros;entre 100-500 euros
peche du bord;homme;resident;<2h;nimp_ou;70 et plus;activite;Q2 (11-15);negatif;non;am;Q2 (11-15);entre 100-500 euros;entre 100-500 euros
peche embarquée;homme;touriste;>=2h;Ouest Cap;25-39;activite;Q1 (<=10);positif;oui;am;Q1 (<=10);< 100 euros;< 100 euros
chasse sous-marine;homme;touriste;>=2h;nimp_ou;40-49;activite;Q1 (<=10);positif;oui;pm;Q1 (<=10);entre 500-1000 euros;entre 500-1000 euros
chasse sous-marine;homme;resident;<2h;nimp_ou;13-24;etudiant;Q1 (<=10);positif;non;am;Q1 (<=10);entre 500-1000 euros;entre 500-1000 euros
peche embarquée;homme;touriste;>=2h;nimp_ou;70 et plus;retraite;Q1 (<=10);positif;oui;am;Q1 (<=10);entre 500-1000 euros;entre 500-1000 euros
peche embarquée;homme;resident;>=2h;Ouest Cap;70 et plus;retraite;Q3 (16-30);positif;oui;am;Q3 (16-30);entre 1000-2000 euros;entre 1000-2000 euros
peche embarquée;homme;resident;>=2h;nimp_ou;60-69;retraite;Q4 (>=31);positif;oui;nimp_q;Q4 (>=31);entre 1000-2000 euros;entre 1000-2000 euros
peche embarquée;homme;resident;>=2h;nimp_ou;60-69;retraite;Q3 (16-30);p_avis;oui;am;Q3 (16-30);< 100 euros;< 100 euros
peche embarquée;homme;resident;>=2h;nimp_ou;60-69;retraite;Q1 (<=10);positif;non;nimp_q;Q1 (<=10);entre 100-500 euros;entre 100-500 euros
peche embarquée;homme;resident;>=2h;Est Cap;70 et plus;retraite;Q1 (<=10);positif;oui;nimp_q;Q1 (<=10);< 100 euros;< 100 euros
peche embarquée;homme;touriste;>=2h;nimp_ou;50-59;activite;Q1 (<=10);positif;oui;nimp_q;Q1 (<=10);< 100 euros;< 100 euros
peche embarquée;homme;resident;>=2h;nimp_ou;60-69;retraite;Q3 (16-30);positif;oui;nimp_q;Q3 (16-30);entre 1000-2000 euros;entre 1000-2000 euros
peche embarquée;homme;resident;>=2h;nimp_ou;70 et plus;retraite;Q3 (16-30);positif;oui;am;Q3 (16-30);supérieur à 2000;supérieur à 2000
peche embarquée;homme;resident;>=2h;nimp_ou;50-59;sans_emploi-en_arret;Q3 (16-30);positif;oui;am;Q3 (16-30);supérieur à 2000;supérieur à 2000
peche embarquée;homme;resident;>=2h;Ouest Cap;50-59;activite;Q3 (16-30);positif;oui;nimp_q;Q3 (16-30);supérieur à 2000;supérieur à 2000
peche embarquée;homme;resident;>=2h;nimp_ou;25-39;activite;Q3 (16-30);positif;oui;nimp_q;Q3 (16-30);supérieur à 2000;supérieur à 2000
peche embarquée;homme;resident;>=2h;Ouest Cap;60-69;retraite;Q1 (<=10);positif;oui;am;Q1 (<=10);entre 500-1000 euros;entre 500-1000 euros
peche embarquée;homme;resident;>=2h;Est Cap;60-69;retraite;Q1 (<=10);positif;oui;am;Q1 (<=10);entre 100-500 euros;entre 100-500 euros
peche embarquée;homme;resident;>=2h;Est Cap;50-59;sans_emploi-en_arret;Q2 (11-15);positif;oui;am;Q2 (11-15);supérieur à 2000;supérieur à 2000
peche embarquée;homme;secondaire;>=2h;Est Cap;40-49;activite;Q1 (<=10);positif;oui;nimp_q;Q1 (<=10);< 100 euros;< 100 euros
peche embarquée;homme;secondaire;>=2h;Est Cap;70 et plus;retraite;Q3 (16-30);positif;oui;nimp_q;Q3 (16-30);entre 100-500 euros;entre 100-500 euros
peche embarquée;homme;resident;>=2h;Ouest Cap;50-59;activite;Q4 (>=31);positif;oui;am;Q4 (>=31);entre 100-500 euros;entre 100-500 euros
peche embarquée;homme;touriste;>=2h;Nord Cap;40-49;activite;Q3 (16-30);positif;oui;am;Q3 (16-30);entre 1000-2000 euros;entre 1000-2000 euros
peche embarquée;homme;touriste;>=2h;nimp_ou;50-59;activite;Q1 (<=10);positif;oui;am;Q1 (<=10);entre 1000-2000 euros;entre 1000-2000 euros
peche embarquée;homme;secondaire;>=2h;nimp_ou;70 et plus;retraite;Q3 (16-30);positif;oui;am;Q3 (16-30);entre 500-1000 euros;entre 500-1000 euros
peche embarquée;homme;touriste;>=2h;nimp_ou;60-69;activite;Q1 (<=10);positif;oui;am;Q1 (<=10);supérieur à 2000;supérieur à 2000
peche embarquée;homme;touriste;>=2h;Nord Cap;60-69;retraite;Q3 (16-30);positif;oui;am;Q3 (16-30);< 100 euros;< 100 euros
peche embarquée;homme;touriste;>=2h;Nord Cap;60-69;retraite;Q3 (16-30);positif;oui;am;Q3 (16-30);< 100 euros;< 100 euros
peche embarquée;homme;resident;<2h;nimp_ou;60-69;retraite;Q2 (11-15);positif;oui;am;Q2 (11-15);entre 1000-2000 euros;entre 1000-2000 euros
peche embarquée;homme;touriste;>=2h;nimp_ou;60-69;activite;Q1 (<=10);positif;oui;am;Q1 (<=10);supérieur à 2000;supérieur à 2000
peche embarquée;homme;touriste;>=2h;nimp_ou;70 et plus;retraite;Q1 (<=10);negatif;oui;am;Q1 (<=10);entre 1000-2000 euros;entre 1000-2000 euros
peche embarquée;homme;resident;>=2h;Ouest Cap;40-49;activite;Q4 (>=31);positif;oui;nimp_q;Q4 (>=31);supérieur à 2000;supérieur à 2000
peche embarquée;homme;resident;>=2h;Ouest Cap;50-59;activite;Q1 (<=10);p_avis;oui;pm;Q1 (<=10);supérieur à 2000;supérieur à 2000
peche embarquée;homme;resident;>=2h;nimp_ou;60-69;retraite;Q1 (<=10);positif;oui;am;Q1 (<=10);entre 100-500 euros;entre 100-500 euros
